link,title,price,category,transaction_type,surface_area,num_bathrooms,num_bedrooms,gouvernement
https://www.tayara.tn/item/674a218d3c20a99fb55bf6d8/Terrains%20et%20Fermes/Monastir/Sayada_Lamta_Bou_Hajar/Terrain_Vendre_Bouhjar_Monastir_/,Terrain à Vendre à Bouhjar - Monastir,274000,N/A,N/A,N/A,N/A,N/A,Monastir
https://www.tayara.tn/item/671781d71cde9a414fada890/Autres%20Immobiliers/Monastir/Sahline/Dpt_louer_/,Dépôt à louer 🔥,N/A,N/A,N/A,N/A,N/A,N/A,Monastir
https://www.tayara.tn/item/6756bb408729cead59e87d34/Locations%20de%20vacances/Monastir/Monastir/A_Louer_pour_les_vacances_/,A Louer pour les vacances,N/A,N/A,À Louer,60,1,1,Monastir
https://www.tayara.tn/item/6737165a0d8480a1e00edf38/Locations%20de%20vacances/Monastir/Monastir/A_Louer_pour_les_vacances_/,A Louer pour les vacances,N/A,N/A,À Louer,N/A,1,1,Monastir
https://www.tayara.tn/item/674a218d3c20a99fb55bf6d8/Terrains%20et%20Fermes/Monastir/Sayada_Lamta_Bou_Hajar/Terrain_Vendre_Bouhjar_Monastir_/,Terrain à Vendre à Bouhjar - Monastir,274000,Terrains et Fermes,N/A,N/A,N/A,N/A,Monastir
https://www.tayara.tn/item/675da559f39faeaa98b96967/Terrains%20et%20Fermes/Monastir/Jemmal/Terrain_centre_ville_Jammel/,Terrain centre ville Jammel,1500,Terrains et Fermes,N/A,N/A,N/A,N/A,Monastir
https://www.tayara.tn/item/673caaf10d8480a1e0124d67/Magasins%2C%20Commerces%20et%20Locaux%20industriels/Monastir/Monastir/Espace_commercial_au_cur_de_la_ville/,Espace commercial au cœur de la ville,N/A,"Magasins, Commerces et Locaux industriels",À Vendre,N/A,N/A,N/A,Monastir
https://www.tayara.tn/item/674dd4970d8480a1e01bacfd/Terrains%20et%20Fermes/Monastir/Monastir/Une_Opportunit_Immobilire_Trs_Rentable_/,Une Opportunité Immobilière Très Rentable,N/A,Terrains et Fermes,N/A,,N/A,N/A,Monastir
https://www.tayara.tn/item/674dd5223c20a99fb55d59a3/Bureaux%20et%20Plateaux/Monastir/Monastir/ESPACE_DE_TRAVAIL/,ESPACE DE TRAVAIL,N/A,Bureaux et Plateaux,À Louer,300,4,7,Monastir
https://www.tayara.tn/item/673c9ff40d8480a1e01243e5/Appartements/Monastir/Monastir/ISIM_MONASTIR/,ISIM MONASTIR,350,Appartements,rent,75.0,N/A,2.0,Monastir
https://www.tayara.tn/item/675d701df39faeaa98b94725/Terrains%20et%20Fermes/Monastir/Bekalta/_Vendre_Terrain_en_Bord_de_Mer_Dimess/,À Vendre : Terrain en Bord de Mer à Dimess,128450,Terrains et Fermes,N/A,N/A,N/A,N/A,Monastir
https://www.tayara.tn/item/675d69e9b7de28167ebe5375/Appartements/Monastir/Monastir/Appartement_meubl_Monastir_Skanes/,Appartement meublé Monastir Skanes,N/A,Appartements,À Louer,85,1,2,Monastir
