link,title,price,category,transaction_type,surface_area,num_bathrooms,num_bedrooms,gouvernement
https://www.tayara.tn/item/6744cb023c20a99fb558e95e/Maisons%20et%20Villas/Nabeul/Hammamet/Villa_SEBASTIAN/,"Villa "" SEBASTIAN""",890000,N/A,À Vendre,485,4,4,Nabeul
https://www.tayara.tn/item/675d79ceb7de28167ebe5e5d/Locations%20de%20vacances/Nabeul/Hammamet/A_louer_des_magnifiques_appartements_s2_avec_terrasse_richement_meubls_et_quips_de_chauffage_central_et_Wifi_/,A louer des magnifiques appartements s+2 avec terrasse 📷 richement meublés et équipés de chauffage central et Wifi 📷,80,Locations de vacances,À Louer,114,1,2,Nabeul
https://www.tayara.tn/item/675d79ccb7de28167ebe5e5b/Locations%20de%20vacances/Nabeul/Hammamet/A_louer_des_magnifiques_appartements_s2_avec_terrasse_richement_meubls_et_quips_de_chauffage_central_et_Wifi_/,A louer des magnifiques appartements s+2 avec terrasse 📷 richement meublés et équipés de chauffage central et Wifi 📷,80,Locations de vacances,À Louer,116,1,2,Nabeul
https://www.tayara.tn/item/675d79b3f39faeaa98b94dc1/Locations%20de%20vacances/Nabeul/Hammamet/A_louer_des_magnifiques_appartements_s2_avec_terrasse_richement_meubls_et_quips_de_chauffage_central_et_Wifi_/,A louer des magnifiques appartements s+2 avec terrasse 📷 richement meublés et équipés de chauffage central et Wifi 📷,80,Locations de vacances,À Louer,116,1,2,Nabeul
https://www.tayara.tn/item/675d79b0b7de28167ebe5e47/Locations%20de%20vacances/Nabeul/Hammamet_Nord/A_louer_des_magnifiques_appartements_s2_avec_terrasse_richement_meubls_et_quips_de_chauffage_central_et_Wifi_/,A louer des magnifiques appartements s+2 avec terrasse 📷 richement meublés et équipés de chauffage central et Wifi 📷,80,Locations de vacances,À Louer,112,1,2,Nabeul
https://www.tayara.tn/item/675d799cf39faeaa98b94db0/Appartements/Nabeul/Hammamet/A_louer_des_magnifiques_appartements_s2_avec_terrasse_richement_meubls_et_quips_de_chauffage_central_et_Wifi_/,A louer des magnifiques appartements s+2 avec terrasse 📷 richement meublés et équipés de chauffage central et Wifi 📷,80,Appartements,À Louer,115,1,2,Nabeul
https://www.tayara.tn/item/675d7999b7de28167ebe5e32/Maisons%20et%20Villas/Nabeul/Hammamet/A_louer_des_magnifiques_appartements_s2_avec_terrasse_richement_meubls_et_quips_de_chauffage_central_et_Wifi_/,A louer des magnifiques appartements s+2 avec terrasse 📷 richement meublés et équipés de chauffage central et Wifi 📷,80,Maisons et Villas,À Louer,115,1,2,Nabeul
https://www.tayara.tn/item/675d797ef39faeaa98b94d9f/Locations%20de%20vacances/Nabeul/Mrezga/A_louer_des_magnifiques_appartements_s2_avec_terrasse_richement_meubls_et_quips_de_climatiseur_et_Wifi_/,A louer des magnifiques appartements s+2 avec terrasse 📷 richement meublés et équipés de climatiseur et Wifi 📷,80,Locations de vacances,À Louer,114,1,2,Nabeul
https://www.tayara.tn/item/675d797cb7de28167ebe5e1e/Locations%20de%20vacances/Nabeul/Hammamet_Centre/A_louer_des_magnifiques_appartements_s2_avec_terrasse_richement_meubls_et_quips_de_climatiseur_et_Wifi_/,A louer des magnifiques appartements s+2 avec terrasse 📷 richement meublés et équipés de climatiseur et Wifi 📷,80,Locations de vacances,À Louer,112,1,2,Nabeul
https://www.tayara.tn/item/66faa472b3c14db342dd6983/Maisons%20et%20Villas/Nabeul/Hammamet/UNE_BELLE_VILLA_S4_A_VENDRE_A_HAMMAMET_/,UNE BELLE VILLA S4 A VENDRE A HAMMAMET,920000,Maisons et Villas,À Vendre,460,3,4,Nabeul
https://www.tayara.tn/item/6737096a3c20a99fb550844f/Maisons%20et%20Villas/Nabeul/Hammamet/Une_Villa_S3_a_louer_lanne_Hammamet_/,Une Villa S3 a louer à l’année à Hammamet,1800,Maisons et Villas,À Louer,500,3,3,Nabeul
https://www.tayara.tn/item/665f3300a84e4123339f0674/Terrains%20et%20Fermes/Nabeul/Hammamet/A_vendre_Hammamet_MONCHAR_un_terrain_de_1000_m_220_dtm_/,A vendre à Hammamet MONCHAR un terrain de 1000 m² à 220 dt/m²,220000,Terrains et Fermes,N/A,N/A,N/A,N/A,Nabeul
https://www.tayara.tn/item/66f7c6a967b755ba9233f174/Appartements/Nabeul/Klibia/Appartements_700_mtres_plage_Mansourah_Kelibia/,Appartements à 700 mètres plage Mansourah Kelibia,140000,Appartements,À Vendre,100,1,1,Nabeul
https://www.tayara.tn/item/675d6bbdb7de28167ebe54a9/Terrains%20et%20Fermes/Nabeul/Soliman/Terrain_vendre_Borj_Cedria_Plage_El_Jahmi/,Terrain à vendre à Borj Cedria - Plage El Jahmi,470,Terrains et Fermes,N/A,N/A,N/A,N/A,Nabeul
https://www.tayara.tn/item/667401be1f70e29aff2df00a/Locations%20de%20vacances/Nabeul/Mrezga/S2_spacieux_dans_une_rsidence_garde_avec_piscine_lAFH_Mrezga_/,S2 spacieux dans une résidence gardée avec piscine à l'AFH Mrezga,N/A,Locations de vacances,À Louer,110,1,2,Nabeul
https://www.tayara.tn/item/675d69a7f39faeaa98b9426c/Appartements/Nabeul/Hammamet/A_vendre_S2_de_200m_pieds_dans_leau_vue_mer_Hammamet/,A vendre S2 de 200m² pieds dans l'eau vue mer à Hammamet,N/A,Appartements,À Vendre,200,3,2,Nabeul
https://www.tayara.tn/item/67582187b5e4ab395e773fa2/Appartements/Nabeul/Yasmine_Hammamet/_LOUER_HAMMAET_YASMINE/,À LOUER À HAMMAET YASMINE!,1400,Appartements,À Louer,120,1,0,Nabeul
https://www.tayara.tn/item/66d47556e2f0c13af835a550/Appartements/Nabeul/Klibia/Appartements_500_de_plage_jinan_el_mansourah_kelibia_/,Appartements à 500 de plage à jinan el mansourah kelibia,220000,Appartements,À Vendre,100,1,2,Nabeul
https://www.tayara.tn/item/67581ddbb5e4ab395e773c09/Appartements/Nabeul/Yasmine_Hammamet/_LOUER_LANNE_YASMINE_HAMMAMET/,À LOUER À L'ANNÉE À YASMINE HAMMAMET,1400,Appartements,À Louer,140,1,2,Nabeul
https://www.tayara.tn/item/6728cbe5981bc29b64446f88/Terrains%20et%20Fermes/Nabeul/Hammamet/A_VENDRE_un_Terrain_prs_Golf_Hammamet_/,A VENDRE un Terrain prés Golf Hammamet 𝟮𝟵𝟮𝟱𝟲𝟮𝟭𝟲📞,N/A,Terrains et Fermes,N/A,N/A,N/A,N/A,Nabeul
https://www.tayara.tn/item/675d619bf39faeaa98b93c78/Appartements/Nabeul/Hammamet/appartement_vendre_yasmine_hammamet/,appartement à vendre à yasmine hammamet,N/A,Appartements,À Vendre,300,1,2,Nabeul
https://www.tayara.tn/item/673de6ab0d8480a1e0130d7c/Appartements/Nabeul/Mrezga/A_Vendre_un_S1_en_cours_de_construction_dans_une_rsidence_avec_piscine_AFH_Mrezga_Nabeul/,"A Vendre un S+1, en cours de construction, dans une résidence avec piscine à AFH Mrezga Nabeul.",277000,Appartements,À Vendre,,1,1,Nabeul
https://www.tayara.tn/item/675d603ab7de28167ebe4ca6/Maisons%20et%20Villas/Nabeul/Hammamet_Centre/A_vendre_villa_s4_de_234m_Hammamet_/,A vendre villa s4 de 234m² à Hammamet,575000,Maisons et Villas,À Vendre,234,3,4,Nabeul
https://www.tayara.tn/item/675d600bb7de28167ebe4c87/Maisons%20et%20Villas/Nabeul/Hammamet/duplex_s4_de_500m_hammamet_sud_99202001/,duplex s+4 de 500m à hammamet sud 📞99202001📞,235000,Maisons et Villas,À Vendre,500,2,3,Nabeul
https://www.tayara.tn/item/6748a7613c20a99fb55b53a4/Maisons%20et%20Villas/Nabeul/Hammamet_Nord/VILLA_SALVADOR_/,"VILLA "" SALVADOR """,990000,Maisons et Villas,À Vendre,320,4,4,Nabeul
https://www.tayara.tn/item/674a15700d8480a1e01a44ce/Maisons%20et%20Villas/Nabeul/Yasmine_Hammamet/Villa_CAMLIA_/,"Villa "" CAMÉLIA """,720000,Maisons et Villas,À Vendre,620,4,4,Nabeul
https://www.tayara.tn/item/674a1905041535433b41391c/Maisons%20et%20Villas/Nabeul/Yasmine_Hammamet/Villa_MADAGASCAR_/,"Villa "" MADAGASCAR """,1250000,Maisons et Villas,N/A,550,4,5,Nabeul
