gouvernement,category,num_bedrooms,num_bathrooms,surface_area,transaction_type,date,price
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,100
"Ariana, Autres villes",Terrains et Fermes,,,,,7 février 2020,316000
"Ariana, Autres villes",Locations de vacances,3,80,,À Louer,7 février 2020,70
"Ariana, Autres villes",Appartements,2,1,900,À Louer,7 février 2020,80
"Ariana, Autres villes",Locations de vacances,1,1,900,À Louer,7 février 2020,70
"Ariana, Autres villes",Appartements,2,1,80,À Louer,7 février 2020,380
"Ariana, Autres villes",Locations de vacances,1,1,90,À Louer,7 février 2020,70
"Ariana, Jardins D'el Menzah","Magasins, Commerces et Locaux industriels",1,0,14,À Vendre,7 février 2020,30000
"Ariana, Ariana Ville",Appartements,2,2,113,À Vendre,7 février 2020,170
"Ariana, Autres villes",Locations de vacances,1,1,70,À Louer,7 février 2020,80
"Ariana, Ariana",Appartements,3,4,220,À Louer,7 février 2020,1950
"Ariana, Borj Louzir",Appartements,2,1,100,À Louer,7 février 2020,670
"Ariana, Borj Louzir","Magasins, Commerces et Locaux industriels",2,1,20,À Louer,7 février 2020,650
"Ariana, La Soukra",Appartements,3,220,,À Vendre,7 février 2020,580000
"Ariana, Autres villes",Terrains et Fermes,,,,,7 février 2020,180
"Ariana, Ariana Ville","Magasins, Commerces et Locaux industriels",1,1,40,À Louer,7 février 2020,450
"Ariana, La Soukra",Appartements,2,1,1,À Louer,7 février 2020,2200
"Ariana, La Soukra",Maisons et Villas,4,2,1208,À Vendre,7 février 2020,700000
"Ariana, La Soukra",Terrains et Fermes,,,,,7 février 2020,600
"Ariana, Chotrana",Maisons et Villas,5,3,220,À Louer,7 février 2020,2000
"Ariana, Jardins D'el Menzah",Appartements,3,2,138,À Vendre,7 février 2020,340000
"Ariana, Raoued",Maisons et Villas,2,1,150,À Vendre,7 février 2020,120000
"Ariana, Borj Louzir",Appartements,3,1,180,À Louer,7 février 2020,300
"Ariana, Ennasr",Appartements,4,180,,À Vendre,7 février 2020,285000
"Ariana, Autres villes","Magasins, Commerces et Locaux industriels",1,13,,À Louer,7 février 2020,13
"Ariana, Ariana Ville",Appartements,3,1,250,À Louer,7 février 2020,500
"Ariana, Sidi Thabet",Terrains et Fermes,,,,,7 février 2020,350000
"Ariana, Ennasr",Appartements,2,1,80,À Vendre,7 février 2020,230000
"Ariana, Borj Louzir","Magasins, Commerces et Locaux industriels",1,1,20,À Vendre,7 février 2020,55000
"Ariana, Ghazela",Appartements,2,1,80,À Louer,7 février 2020,400
"Ariana, Ennasr",Appartements,4,2,200,À Vendre,7 février 2020,440000
"Ariana, Autres villes",Maisons et Villas,4,2,130,À Vendre,7 février 2020,125000
"Ariana, Autres villes","Magasins, Commerces et Locaux industriels",1,100,,À Vendre,7 février 2020,90000
"Ariana, Ghazela",Maisons et Villas,2,1,150,À Vendre,7 février 2020,170000
"Ariana, Autres villes",Appartements,4,1,160,À Vendre,7 février 2020,310000
"Ariana, Borj Louzir",Appartements,2,1,89,À Vendre,7 février 2020,136000
"Ariana, La Soukra",Appartements,2,1,94,À Vendre,7 février 2020,185000
"Ariana, Ghazela",Appartements,1,1,79,À Vendre,7 février 2020,146150
"Ariana, Ennasr",Maisons et Villas,5,2,200,À Louer,7 février 2020,0
"Ariana, La Soukra",Terrains et Fermes,,,,,7 février 2020,420000
"Ariana, La Soukra",Maisons et Villas,6,4,1200,À Vendre,7 février 2020,1150000
"Ariana, Ghazela",Maisons et Villas,4,2,320,À Vendre,7 février 2020,265000
"Ariana, Ennasr",Maisons et Villas,3,1,130,À Louer,7 février 2020,1250
"Ariana, Ennasr",Appartements,3,1,157,À Vendre,7 février 2020,340000
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",1,1,330,À Vendre,7 février 2020,1550000
"Ariana, Ennasr",Maisons et Villas,3,2,220,À Vendre,7 février 2020,490000
"Ariana, La Soukra",Appartements,2,1,105,À Vendre,7 février 2020,225000
"Ariana, Autres villes",Terrains et Fermes,,,,,7 février 2020,180
"Ariana, Chotrana",Maisons et Villas,5,2,400,À Vendre,7 février 2020,620000
"Ariana, Jardins D'el Menzah","Magasins, Commerces et Locaux industriels",1,1,65,À Louer,7 février 2020,4000
"Ariana, Ennasr",Appartements,3,1,130,À Vendre,7 février 2020,320000
"Ariana, Raoued",Terrains et Fermes,,,,,7 février 2020,90000
"Ariana, Autres villes",Appartements,3,2,1,À Louer,7 février 2020,0
"Ariana, Ariana Ville",Appartements,8,2,280,À Louer,7 février 2020,2000
"Ariana, La Soukra",Terrains et Fermes,,,,,7 février 2020,558000
"Ariana, Ghazela",Appartements,1,1,90,À Louer,7 février 2020,175
"Ariana, La Soukra","Magasins, Commerces et Locaux industriels",2,2,430,À Louer,7 février 2020,3500
"Ariana, Raoued",Appartements,2,1,75,À Louer,7 février 2020,475
"Ariana, La Soukra",Maisons et Villas,6,4,500,À Vendre,7 février 2020,0
"Ariana, Autres villes",Maisons et Villas,5,2,500,À Louer,7 février 2020,1000
"Ariana, Ennasr",Appartements,2,1,80,À Louer,7 février 2020,90
"Ariana, Autres villes",Maisons et Villas,5,2,450,À Louer,7 février 2020,2500
"Ariana, La Soukra",Maisons et Villas,4,2,180,À Vendre,7 février 2020,750000
"Ariana, Ennasr","Magasins, Commerces et Locaux industriels",1,1,40,À Vendre,7 février 2020,0
"Ariana, La Soukra",Maisons et Villas,5,3,265,À Vendre,7 février 2020,470000
"Ariana, Autres villes",Appartements,2,60,,À Louer,7 février 2020,70
"Ariana, Autres villes","Magasins, Commerces et Locaux industriels",4,1,120,À Louer,7 février 2020,120
