link,title,price,category,transaction_type,surface_area,num_bathrooms,num_bedrooms,gouvernement
https://www.tayara.tn/item/6756156b8729cead59e80c0d/Bureaux%20et%20Plateaux/Sfax/Sfax_Ville/Immeubles_vendre_Sfax_ville/,Immeubles à vendre à Sfax ville,1300000,N/A,À Vendre,520,4,12,Sfax
https://www.tayara.tn/item/6755986a8729cead59e73c9d/Terrains%20et%20Fermes/Sfax/ROUTE_SALTANIA/_12_11_50_Tel_27_919_666/,✅ بالتقسيط على 12 شهر ✅ بطريق السلطنية كلم 11 (تبعد 50 متر عن الطريق ) Tel☎️ : 27 919 666,28,N/A,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/675bfe45f39faeaa98b7da27/Maisons%20et%20Villas/Sfax/Route_TANIOUR/a_vendre_villa_route_teniour_km5_/,a vendre villa route teniour km5,800000,N/A,À Vendre,1680,3,3,Sfax
https://www.tayara.tn/item/67570c2d8729cead59e91a7a/Appartements/Sfax/Route_TANIOUR/Appartement_S3_entre_Taniour_et_Rte_de_Tunis_km6/,Appartement S+3 entre Taniour et Rte de Tunis km6,275000,Appartements,À Vendre,135,1,3,Sfax
https://www.tayara.tn/item/675dc59ab7de28167ebe8e83/Maisons%20et%20Villas/Sfax/Sakiet_Eddaer/vente_studio_dans_un_terrain_/,vente studio dans un terrain,170,Maisons et Villas,À Vendre,450,1,1,Sfax
https://www.tayara.tn/item/675dc398b7de28167ebe8d00/Terrains%20et%20Fermes/Sfax/Sakiet_Ezzit/_/,أرض للبيع,130000,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
https://www.tayara.tn/item/675dc2f9b7de28167ebe8c93/Appartements/Sfax/Sfax_Ville/_/,كراء ستوديو مفروش طراز رفيع صفاقس المدينة,80,Appartements,À Louer,25,1,1,Sfax
https://www.tayara.tn/item/6748b5a60d8480a1e019b395/Appartements/Sfax/Route_TANIOUR/Appartement_S2_Teniour/,Appartement S+2 à Teniour,276000,Appartements,À Vendre,128,2,2,Sfax
https://www.tayara.tn/item/675dc0adb7de28167ebe8af3/Appartements/Sfax/Sakiet_Ezzit/Appartement_/,Appartement,N/A,Appartements,À Louer,N/A,1,3,Sfax
https://www.tayara.tn/item/675dac96f39faeaa98b96df0/Appartements/Sfax/Route_Soukra/Appartement_S3_Route_Soukra_Sfax/,Appartement S+3 Route Soukra Sfax,700,Appartements,À Louer,115,1,4,Sfax
https://www.tayara.tn/item/675dab28f39faeaa98b96cf4/Terrains%20et%20Fermes/Sfax/Route_El_Ain/_1800_15/,ارض بها 1800م للبيع طريق العين كم 15,N/A,Terrains et Fermes,N/A,N/A,N/A,N/A,Sfax
